0.000000000000000000e+00,0.000000000000000000e+00
7.007007007007007293e-02,1.299804451825825189e-09
1.401401401401401459e-01,2.044355739843190924e-08
2.102102102102102188e-01,1.017399582924138949e-07
2.802802802802802917e-01,3.161026317026636920e-07
3.503503503503503369e-01,7.586846775995119604e-07
4.204204204204204376e-01,1.546646152349827426e-06
4.904904904904905383e-01,2.817048277452362167e-06
5.605605605605605835e-01,4.724868436875991866e-06
6.306306306306306286e-01,7.441130277007035700e-06
7.007007007007006738e-01,1.115114346610137520e-05
7.707707707707708300e-01,1.605284790315670838e-05
8.408408408408408752e-01,2.235525738968679589e-05
9.109109109109109204e-01,3.027699799234248284e-05
9.809809809809810766e-01,4.004493653005240024e-05
1.051051051051051122e+00,5.189289481671418495e-05
1.121121121121121167e+00,6.606044547973582406e-05
1.191191191191191212e+00,8.279178535630092085e-05
1.261261261261261257e+00,1.023346826433422575e-04
1.331331331331331302e+00,1.249394941441912409e-04
1.401401401401401348e+00,1.508582491150170784e-04
1.471471471471471615e+00,1.803437963677378042e-04
1.541541541541541660e+00,2.136490114332734364e-04
1.611611611611611705e+00,2.510260607302512909e-04
1.681681681681681750e+00,2.927257198195715973e-04
1.751751751751751796e+00,3.389967429550044755e-04
1.821821821821821841e+00,3.900852812643748309e-04
1.891891891891891886e+00,4.462343470151321212e-04
1.961961961961962153e+00,5.076833215323426187e-04
2.032032032032032198e+00,5.746675044466834862e-04
2.102102102102102243e+00,6.474177020549975363e-04
2.172172172172172289e+00,7.261598526765179187e-04
2.242242242242242334e+00,8.111146869842254066e-04
2.312312312312312379e+00,9.024974213832199187e-04
2.382382382382382424e+00,1.000517482596346378e-03
2.452452452452452469e+00,1.105378261702172262e-03
2.522522522522522515e+00,1.217276895951457981e-03
2.592592592592592560e+00,1.336404076766131450e-03
2.662662662662662605e+00,1.462943882399209009e-03
2.732732732732732650e+00,1.597073633805310170e-03
2.802802802802802695e+00,1.738963772339852934e-03
2.872872872872873184e+00,1.888777757970253740e-03
2.942942942942943230e+00,2.046671986745155544e-03
3.013013013013013275e+00,2.212795726327453950e-03
3.083083083083083320e+00,2.387291068454411129e-03
3.153153153153153365e+00,2.570292897242957078e-03
3.223223223223223410e+00,2.761928872310645024e-03
3.293293293293293456e+00,2.962319425733292086e-03
3.363363363363363501e+00,3.171577771908076163e-03
3.433433433433433546e+00,3.389809929437067378e-03
3.503503503503503591e+00,3.617114754190109503e-03
3.573573573573573636e+00,3.853583982747814819e-03
